Name,ID,Text,Sound,DurationOverride,Speaker
lore_isl_oath_burden_02,lore_isl_oath_burden_02,'i will carry what others cannot. their comfort is my burden.',,4.0,Pangolier
lore_isl_oath_burden_03,lore_isl_oath_burden_03,'i will not be loved for this. i must be willing.',,3.5,Pangolier
lore_isl_oath_burden_04,lore_isl_oath_burden_04,he wrote this. and reads it. every morning.,,3.0,Pangolier
lore_isl_oath_burden_05,lore_isl_oath_burden_05,chat i'm going to be honest this is just cringe,,3.0,Pangolier
lore_isl_oath_burden_06,lore_isl_oath_burden_06,until you remember what he actually does,,2.5,Pangolier
lore_isl_video_uploaded_01,lore_isl_video_uploaded_01,it's a video file... playing it,,2.5,Pangolier
lore_isl_video_uploaded_02,lore_isl_video_uploaded_02,okay he's recording himself in a mirror,,2.5,Pangolier
lore_isl_video_uploaded_03,lore_isl_video_uploaded_03,'when you wake up in the next vessel remember why we did this',,4.0,Pangolier
lore_isl_video_uploaded_04,lore_isl_video_uploaded_04,'the body is failing. the mission cannot fail with it.',,3.5,Pangolier
lore_isl_video_uploaded_05,lore_isl_video_uploaded_05,he's talking to FUTURE him chat. the uploaded version.,,3.5,Pangolier
lore_isl_video_uploaded_06,lore_isl_video_uploaded_06,this is the most depressing thing i've ever filmed,,3.0,Pangolier
lore_isl_reading_list_01,lore_isl_reading_list_01,his nightstand books just photographed for the log,,3.0,Pangolier
lore_isl_reading_list_02,lore_isl_reading_list_02,lots of decline-of-civilization stuff. some real some made up,,3.5,Pangolier
lore_isl_reading_list_03,lore_isl_reading_list_03,'CIVITAS TERMINAL' by an author i can't find anywhere,,3.5,Pangolier
lore_isl_reading_list_04,lore_isl_reading_list_04,'BURNHAM'S GHOST' — that's a real reference. james burnham.,,3.5,Pangolier
lore_isl_reading_list_05,lore_isl_reading_list_05,and a stack of stuff in german. critical theory. but he's underlined every page in RED,,5.0,Pangolier
lore_isl_reading_list_06,lore_isl_reading_list_06,he reads it like an enemy,,2.5,Pangolier
lore_isl_wellness_staff_01,lore_isl_wellness_staff_01,this is... a staff hiring registry?,,2.5,Pangolier
lore_isl_wellness_staff_02,lore_isl_wellness_staff_02,'wellness assistants' he calls them,,2.5,Pangolier
lore_isl_wellness_staff_03,lore_isl_wellness_staff_03,twelve of them. all hired in the last four years.,,3.5,Pangolier
lore_isl_wellness_staff_04,lore_isl_wellness_staff_04,ages... 19 18 19 20 18...,,2.5,Pangolier
lore_isl_wellness_staff_05,lore_isl_wellness_staff_05,chat. these aren't wellness staff. nobody hires twelve nineteen year old wellness assistants.,,5.5,Pangolier
lore_isl_wellness_staff_06,lore_isl_wellness_staff_06,the contracts all have the same NDA template. one law firm.,,3.5,Pangolier
lore_isl_wellness_staff_07,lore_isl_wellness_staff_07,i need a break after this one,,2.5,Pangolier
lore_isl_guest_logs_01,lore_isl_guest_logs_01,guest log file. for the island. visitors.,,3.0,Pangolier
lore_isl_guest_logs_02,lore_isl_guest_logs_02,the names are all redacted. all of them. but ages aren't.,,3.5,Pangolier
lore_isl_guest_logs_03,lore_isl_guest_logs_03,a lot of repeat visits. like fifteen twenty trips for some redacted entries.,,4.5,Pangolier
lore_isl_guest_logs_04,lore_isl_guest_logs_04,and there's a column called 'preferred accommodation' chat,,3.5,Pangolier
lore_isl_guest_logs_05,lore_isl_guest_logs_05,this log goes back nine years,,2.5,Pangolier
lore_isl_guest_logs_06,lore_isl_guest_logs_06,we're not seeing the worst of it yet. the names are encrypted separately.,,4.5,Pangolier
lore_isl_photo_archive_01,lore_isl_photo_archive_01,found a photo archive. it's locked. can't open the files.,,3.5,Pangolier
lore_isl_photo_archive_02,lore_isl_photo_archive_02,but the metadata isn't encrypted. that's a mistake.,,3.0,Pangolier
lore_isl_photo_archive_03,lore_isl_photo_archive_03,thousands of files. each one timestamped geotagged.,,3.5,Pangolier
lore_isl_photo_archive_04,lore_isl_photo_archive_04,filenames are coded but there's a pattern. always six digits at the end.,,4.5,Pangolier
lore_isl_photo_archive_05,lore_isl_photo_archive_05,and the file dates... they line up with the guest log.,,3.5,Pangolier
lore_isl_photo_archive_06,lore_isl_photo_archive_06,i'm not going to crack these. i'm not.,,2.5,Pangolier
lore_isl_photo_archive_07,lore_isl_photo_archive_07,we'll hand them to someone who is supposed to crack them.,,3.5,Pangolier
lore_isl_nda_payouts_01,lore_isl_nda_payouts_01,okay this is a financial document. payouts.,,3.0,Pangolier
lore_isl_nda_payouts_02,lore_isl_nda_payouts_02,settlements to 'former staff'. always the same amount.,,3.5,Pangolier
lore_isl_nda_payouts_03,lore_isl_nda_payouts_03,2.4 million dollars. always 2.4. always paid through the same shell.,,4.0,Pangolier
lore_isl_nda_payouts_04,lore_isl_nda_payouts_04,fourteen of them over six years.,,2.5,Pangolier
lore_isl_nda_payouts_05,lore_isl_nda_payouts_05,each one ends with a signed NDA addendum.,,2.5,Pangolier
lore_isl_nda_payouts_06,lore_isl_nda_payouts_06,the amounts say everything. low enough to not flag high enough to silence.,,4.5,Pangolier
lore_isl_chambers_01,lore_isl_chambers_01,architectural plans. for under the temple.,,3.0,Pangolier
lore_isl_chambers_02,lore_isl_chambers_02,there's like... three levels below the surface chamber.,,3.5,Pangolier
lore_isl_chambers_03,lore_isl_chambers_03,level B has rooms i don't have words for.,,3.0,Pangolier
lore_isl_chambers_04,lore_isl_chambers_04,there's a corridor connecting to the main villa. private access only.,,4.0,Pangolier
lore_isl_chambers_05,lore_isl_chambers_05,the temple isn't a temple. it's a front for the structure underneath.,,4.0,Pangolier
lore_isl_chambers_06,lore_isl_chambers_06,and the construction permits are all forged. of course they are.,,3.5,Pangolier
lore_isl_dvds_01,lore_isl_dvds_01,found a media cabinet in the private wing.,,3.0,Pangolier
lore_isl_dvds_02,lore_isl_dvds_02,DVDs. like a hundred of them.,,2.5,Pangolier
lore_isl_dvds_03,lore_isl_dvds_03,no labels. just dates. years 2014 through 2023.,,3.0,Pangolier
lore_isl_dvds_04,lore_isl_dvds_04,i'm not playing them. obviously not playing them.,,3.0,Pangolier
lore_isl_dvds_05,lore_isl_dvds_05,logging the dates and moving on.,,2.5,Pangolier
lore_isl_recruiter_01,lore_isl_recruiter_01,email archive. recruiter communications.,,2.5,Pangolier
lore_isl_recruiter_02,lore_isl_recruiter_02,'looking for candidates aged 18-22 no medical history flags parental NDA precleared',,5.0,Pangolier
lore_isl_recruiter_03,lore_isl_recruiter_03,for what role chat?? what role asks about PARENTAL NDA,,3.5,Pangolier
lore_isl_recruiter_04,lore_isl_recruiter_04,the recruiter is a real agency. consulting firm front.,,3.5,Pangolier
lore_isl_recruiter_05,lore_isl_recruiter_05,they got paid handsomely too.,,2.5,Pangolier
lore_isl_jet_logs_01,lore_isl_jet_logs_01,private jet flight manifests. all six years.,,3.0,Pangolier
lore_isl_jet_logs_02,lore_isl_jet_logs_02,passengers listed by codes. M1 through M uh M84.,,3.5,Pangolier
lore_isl_jet_logs_03,lore_isl_jet_logs_03,M means minor chat. yeah. yeah it does.,,3.0,Pangolier
lore_isl_jet_logs_04,lore_isl_jet_logs_04,every entry: code origin city destination island.,,3.0,Pangolier
lore_isl_jet_logs_05,lore_isl_jet_logs_05,and there's a return-trip code R-M but only on like 60% of them.,,4.0,Pangolier
lore_isl_jet_logs_06,lore_isl_jet_logs_06,i don't know what the other 40% means and i'm not asking.,,3.5,Pangolier
lore_isl_cost_benefit_01,lore_isl_cost_benefit_01,okay this is... a spreadsheet.,,2.5,Pangolier
lore_isl_cost_benefit_02,lore_isl_cost_benefit_02,headers are: subject group / count / projected loss / projected gain.,,4.5,Pangolier
lore_isl_cost_benefit_03,lore_isl_cost_benefit_03,group 7-C. count: 847. projected loss: full. projected gain: 50M civilian deaths averted.,,5.5,Pangolier
lore_isl_cost_benefit_04,lore_isl_cost_benefit_04,and his note in the margin chat. ready?,,2.5,Pangolier
lore_isl_cost_benefit_05,lore_isl_cost_benefit_05,it says 'regret. necessary. proceed.',,3.0,Pangolier
lore_isl_cost_benefit_06,lore_isl_cost_benefit_06,847 people. that's a small town.,,2.5,Pangolier
lore_isl_cost_benefit_07,lore_isl_cost_benefit_07,he calls that a regrettable necessity.,,2.5,Pangolier
lore_isl_surveillance_01,lore_isl_surveillance_01,surveillance target list. ongoing.,,2.5,Pangolier
lore_isl_surveillance_02,lore_isl_surveillance_02,journalists mostly. some activists. couple of academics.,,3.5,Pangolier
lore_isl_surveillance_03,lore_isl_surveillance_03,each name has a 'risk level' and 'mitigation status'.,,3.5,Pangolier
lore_isl_surveillance_04,lore_isl_surveillance_04,'mitigation' chat. what do you think that means.,,3.0,Pangolier
lore_isl_surveillance_05,lore_isl_surveillance_05,some say 'discredited' some say 'relocated' some just say 'closed'.,,4.5,Pangolier
lore_isl_surveillance_06,lore_isl_surveillance_06,'closed' is the one i don't like.,,2.5,Pangolier
lore_isl_kill_list_01,lore_isl_kill_list_01,operational document. ranked threats.,,2.5,Pangolier
lore_isl_kill_list_02,lore_isl_kill_list_02,ranked by 'civilizational risk' factor. 1 to 10.,,3.5,Pangolier
lore_isl_kill_list_03,lore_isl_kill_list_03,there's a budget per rank. 'neutralization budget' it says.,,3.5,Pangolier
lore_isl_kill_list_04,lore_isl_kill_list_04,the top of the list is a politician chat. i'm not saying who.,,4.0,Pangolier
lore_isl_kill_list_05,lore_isl_kill_list_05,the bottom is just researchers. publishing papers about him probably.,,4.0,Pangolier
lore_isl_kill_list_06,lore_isl_kill_list_06,everyone on this list is a person.,,2.5,Pangolier
lore_isl_lab_subjects_01,lore_isl_lab_subjects_01,lab records. testing facility under the temple.,,3.0,Pangolier
lore_isl_lab_subjects_02,lore_isl_lab_subjects_02,human subjects. cataloged by serial.,,2.5,Pangolier
lore_isl_lab_subjects_03,lore_isl_lab_subjects_03,testing... 'polarity exposure tolerance'.,,3.0,Pangolier
lore_isl_lab_subjects_04,lore_isl_lab_subjects_04,this is the CPT-tech testing chat. on PEOPLE.,,3.5,Pangolier
lore_isl_lab_subjects_05,lore_isl_lab_subjects_05,most entries end in red. 'subject lost integrity'.,,3.5,Pangolier
lore_isl_lab_subjects_06,lore_isl_lab_subjects_06,they were figuring out how the tech works. on volunteers who didn't volunteer.,,4.5,Pangolier
lore_isl_silenced_01,lore_isl_silenced_01,okay this is a list. of names. with dates.,,3.0,Pangolier
lore_isl_silenced_02,lore_isl_silenced_02,each name has a date next to it. and a one-word entry.,,3.5,Pangolier
lore_isl_silenced_03,lore_isl_silenced_03,'accident'. 'overdose'. 'suicide'. 'accident' again.,,3.5,Pangolier
lore_isl_silenced_04,lore_isl_silenced_04,twelve names. seven years. always within four months of testimony being scheduled.,,5.0,Pangolier
lore_isl_silenced_05,lore_isl_silenced_05,every. single. one.,,2.5,Pangolier
lore_isl_israel_arms_01,lore_isl_israel_arms_01,contracts file. surveillance tech exports.,,2.5,Pangolier
lore_isl_israel_arms_02,lore_isl_israel_arms_02,selling to several private firms in tel aviv. last seven years.,,3.5,Pangolier
lore_isl_israel_arms_03,lore_isl_israel_arms_03,spyware. facial recognition. behavioral prediction stuff.,,3.5,Pangolier
lore_isl_israel_arms_04,lore_isl_israel_arms_04,the firms then resell to governments. half the global south.,,4.0,Pangolier
lore_isl_israel_arms_05,lore_isl_israel_arms_05,he's not just a customer of israeli intel chat. he's a SUPPLIER.,,4.0,Pangolier
lore_isl_israel_arms_06,lore_isl_israel_arms_06,and a damn lucrative one.,,2.5,Pangolier
lore_isl_morning_protocol_01,lore_isl_morning_protocol_01,okay this is his daily schedule. 'morning protocol'.,,3.5,Pangolier
lore_isl_morning_protocol_02,lore_isl_morning_protocol_02,6am cold plunge. 6:15am... what's 'PE intake'?,,3.5,Pangolier
lore_isl_morning_protocol_03,lore_isl_morning_protocol_03,oh. OH. it's plasma. he drinks the plasma of his wellness assistants.,,4.5,Pangolier
lore_isl_morning_protocol_04,lore_isl_morning_protocol_04,EVERY morning chat.,,2.5,Pangolier
lore_isl_morning_protocol_05,lore_isl_morning_protocol_05,seven assistants on rotation. one per day.,,3.0,Pangolier
lore_isl_morning_protocol_06,lore_isl_morning_protocol_06,this might be the weirdest single document and we found a LOT today.,,4.5,Pangolier
lore_isl_phobia_01,lore_isl_phobia_01,therapist notes. recent. NDA-protected obviously.,,3.0,Pangolier
lore_isl_phobia_02,lore_isl_phobia_02,his phobias list: 'germophobia claustrophobia intimacy',,3.5,Pangolier
lore_isl_phobia_03,lore_isl_phobia_03,and one weird one — 'fear of being misremembered',,3.5,Pangolier
lore_isl_phobia_04,lore_isl_phobia_04,'patient terrified that history will not appreciate him',,3.5,Pangolier
lore_isl_phobia_05,lore_isl_phobia_05,his therapy is mostly about LEGACY chat.,,3.0,Pangolier
lore_isl_phobia_06,lore_isl_phobia_06,she should be a comedy writer she's wasting it.,,3.0,Pangolier
lore_isl_dna_backup_01,lore_isl_dna_backup_01,this is a logistics manifest. for his DNA.,,3.0,Pangolier
lore_isl_dna_backup_02,lore_isl_dna_backup_02,stored in seven secure facilities. three countries.,,3.5,Pangolier
lore_isl_dna_backup_03,lore_isl_dna_backup_03,two are switzerland. two more in singapore. tel aviv. delaware. and one literally in iceland.,,5.5,Pangolier
lore_isl_dna_backup_04,lore_isl_dna_backup_04,redundancy for cloning? for memorial? upload prep?,,3.5,Pangolier
lore_isl_dna_backup_05,lore_isl_dna_backup_05,the iceland one is in a vault. the same vault as the seed bank.,,4.0,Pangolier
lore_isl_dna_backup_06,lore_isl_dna_backup_06,he wants himself preserved alongside the planet's last crops.,,4.0,Pangolier
lore_isl_pre_upload_01,lore_isl_pre_upload_01,this is... a ritual sheet?,,2.5,Pangolier
lore_isl_pre_upload_02,lore_isl_pre_upload_02,for before each mind-upload trial. there have been four.,,3.5,Pangolier
lore_isl_pre_upload_03,lore_isl_pre_upload_03,sandalwood candles. white robe. specific track on loop — bach the goldberg variations.,,5.0,Pangolier
lore_isl_pre_upload_04,lore_isl_pre_upload_04,and a written affirmation: 'i go forward not as a man but as a continuity'.,,4.5,Pangolier
lore_isl_pre_upload_05,lore_isl_pre_upload_05,he reads it OUT LOUD to himself. there's an audio log.,,3.5,Pangolier
lore_isl_pre_upload_06,lore_isl_pre_upload_06,i'm not playing it for you. you can find it later if you really want.,,4.5,Pangolier
lore_isl_yacht_fleet_01,lore_isl_yacht_fleet_01,yacht registry. he owns... five.,,2.5,Pangolier
lore_isl_yacht_fleet_02,lore_isl_yacht_fleet_02,all named after greek philosophical concepts.,,3.0,Pangolier
lore_isl_yacht_fleet_03,lore_isl_yacht_fleet_03,Ataraxia. Nous. Logos. Telos. and 'Eudaimonia'.,,3.5,Pangolier
lore_isl_yacht_fleet_04,lore_isl_yacht_fleet_04,each one is over 100 meters. crew of 30+. annual maintenance 4-6 million per ship.,,5.0,Pangolier
lore_isl_yacht_fleet_05,lore_isl_yacht_fleet_05,he doesn't even use them often. they're just there.,,3.0,Pangolier
lore_isl_yacht_fleet_06,lore_isl_yacht_fleet_06,five boats named after virtues he doesn't have.,,3.0,Pangolier
lore_isl_capybara_01,lore_isl_capybara_01,okay this is something else,,2.0,Pangolier
lore_isl_capybara_02,lore_isl_capybara_02,the capybara. its name is Чавес. cyrillic ч.,,3.0,Pangolier
lore_isl_capybara_03,lore_isl_capybara_03,has a dedicated security detail. four people.,,3.0,Pangolier
lore_isl_capybara_04,lore_isl_capybara_04,annual budget: $214000.,,2.5,Pangolier
lore_isl_capybara_05,lore_isl_capybara_05,medical team on call. private nutritionist. a SOMMELIER for the capybara.,,4.5,Pangolier
lore_isl_capybara_06,lore_isl_capybara_06,this is the only thing in this entire dataset that made me smile.,,4.0,Pangolier
lore_isl_tel_aviv_01,lore_isl_tel_aviv_01,real estate file. another property.,,2.5,Pangolier
lore_isl_tel_aviv_02,lore_isl_tel_aviv_02,penthouse in north tel aviv. four floors of a building he owns.,,4.0,Pangolier
lore_isl_tel_aviv_03,lore_isl_tel_aviv_03,logs show he stayed there 87 days last year alone.,,3.5,Pangolier
lore_isl_tel_aviv_04,lore_isl_tel_aviv_04,more time than he spent in his own US estate.,,3.0,Pangolier
lore_isl_tel_aviv_05,lore_isl_tel_aviv_05,the building is registered to a Cayman shell of course.,,3.5,Pangolier
lore_isl_tel_aviv_06,lore_isl_tel_aviv_06,he loves it there. he keeps coming back.,,2.5,Pangolier
lore_isl_mom_calls_01,lore_isl_mom_calls_01,personal phone log,,2.0,Pangolier
lore_isl_mom_calls_02,lore_isl_mom_calls_02,his mother. 247 missed calls over three years.,,3.5,Pangolier
lore_isl_mom_calls_03,lore_isl_mom_calls_03,he never picks up. she keeps trying.,,3.0,Pangolier
lore_isl_mom_calls_04,lore_isl_mom_calls_04,voicemails are saved but never listened to. you can see the unread count.,,4.5,Pangolier
lore_isl_mom_calls_05,lore_isl_mom_calls_05,last one was two weeks ago. she said 'happy birthday sweetheart'.,,4.5,Pangolier
lore_isl_mom_calls_06,lore_isl_mom_calls_06,i'm not a therapist but he's not okay.,,2.5,Pangolier
lore_isl_therapist_01,lore_isl_therapist_01,found the therapist's office files,,2.5,Pangolier
lore_isl_therapist_02,lore_isl_therapist_02,she's been seeing him weekly. for nine years.,,3.5,Pangolier
lore_isl_therapist_03,lore_isl_therapist_03,her contract includes a permanent NDA AND a 'public statement' addendum.,,4.5,Pangolier
lore_isl_therapist_04,lore_isl_therapist_04,the addendum: 'patient is mentally well stable of sound mind periodically'.,,5.0,Pangolier
lore_isl_therapist_05,lore_isl_therapist_05,she has to sign it every quarter. she gets $80K per signing.,,4.0,Pangolier
lore_isl_therapist_06,lore_isl_therapist_06,she knows everything. she's paid to know nothing.,,3.5,Pangolier
lore_isl_diary_01,lore_isl_diary_01,his personal diary. handwritten. scanned.,,3.0,Pangolier
lore_isl_diary_02,lore_isl_diary_02,most entries are about progress. milestones.,,3.0,Pangolier
lore_isl_diary_03,lore_isl_diary_03,this one's different. dated this year.,,3.0,Pangolier
lore_isl_diary_04,lore_isl_diary_04,'i dreamt i was wrong. about everything.',,3.5,Pangolier
lore_isl_diary_05,lore_isl_diary_05,'woke up disappointed when i remembered i am not.',,4.0,Pangolier
lore_isl_diary_06,lore_isl_diary_06,that's the entry. one line.,,2.5,Pangolier
lore_isl_diary_07,lore_isl_diary_07,i think about it every time i flip the next page.,,3.5,Pangolier
lore_isl_finale_01,lore_isl_finale_01,okay. boss is down. the master file is decrypting.,,4.0,Pangolier
lore_isl_finale_02,lore_isl_finale_02,this is the encrypted folder we've been hitting all run.,,3.5,Pangolier
lore_isl_finale_03,lore_isl_finale_03,loading... it's just three documents. but they're huge.,,4.0,Pangolier
lore_isl_finale_04,lore_isl_finale_04,first one... yo chat... yo chat look at this...,,4.0,Pangolier
lore_isl_finale_05,lore_isl_finale_05,okay so he funded a war. wait which one.,,3.5,Pangolier
lore_isl_finale_06,lore_isl_finale_06,ALL OF THE CURRENT WARS ON THE GLOBE. WHAT THE FUUUUUU,,5.0,Pangolier
lore_isl_finale_07,lore_isl_finale_07,nah wait. wait. there's more. second document.,,3.5,Pangolier
lore_isl_finale_08,lore_isl_finale_08,noo. NO FUCKING WAY THE US PRESIDENT WAS ON THE ISLAND,,5.0,Pangolier
lore_isl_finale_09,lore_isl_finale_09,YOU SEE THIS CHAT?????!!!!!,,3.5,Pangolier
lore_isl_finale_10,lore_isl_finale_10,yeah nothing would beat that i bet. wait...,,3.5,Pangolier
lore_isl_finale_11,lore_isl_finale_11,third document. opening third document...,,3.5,Pangolier
lore_isl_finale_12,lore_isl_finale_12,nooooo...,,3.5,Pangolier
lore_isl_finale_13,lore_isl_finale_13,maaaannnnn.,,3.0,Pangolier
lore_isl_finale_14,lore_isl_finale_14,we're cooked chat.,,4.5,Pangolier
